# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.global.updates.count,1727728074123000000,1727728134923000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1727728074123000000,1727728134923000000,3
jps.global.get.library.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1727728074123000000,1727728134923000000,6
workspaceModel.mutableEntityStorage.modify.entity.ms,1727728074123000000,1727728134923000000,12
workspaceModel.moduleBridge.update.option.ms,1727728074123000000,1727728134923000000,0
jps.module.iml.entities.serializer.load.entities.ms,1727728074123000000,1727728134923000000,377
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1727728074123000000,1727728134923000000,56
workspaceModel.orphan.listener.update.ms,1727728074123000000,1727728134923000000,7
workspaceModel.moduleBridgeLoader.loading.modules.ms,1727728074123000000,1727728134923000000,721
workspaceModel.delayed.project.synchronizer.sync.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1727728074123000000,1727728134923000000,0
jps.global.initialize.library.bridges.ms,1727728074123000000,1727728134923000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1727728074123000000,1727728134923000000,4
workspaceModel.global.apply.state.to.project.ms,1727728074123000000,1727728134923000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1727728074123000000,1727728134923000000,0
jps.save.changed.project.entities.ms,1727728074123000000,1727728134923000000,0
jps.project.serializers.load.ms,1727728074123000000,1727728134923000000,499
workspaceModel.moduleManagerBridge.create.module.instance.ms,1727728074123000000,1727728134923000000,89
jps.global.get.libraries.ms,1727728074123000000,1727728134923000000,1
workspaceModel.mutableEntityStorage.entities.ms,1727728074123000000,1727728134923000000,3
jps.modifiable.module.model.bridge.load.module.ms,1727728074123000000,1727728134923000000,0
jps.load.project.to.empty.storage.ms,1727728074123000000,1727728134923000000,576
workspaceModel.moduleBridge.facet.initialization.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1727728074123000000,1727728134923000000,0
jps.modifiable.module.model.bridge.new.module.ms,1727728074123000000,1727728134923000000,93
jps.artifact.entities.serializer.load.entities.ms,1727728074123000000,1727728134923000000,5
jps.module.iml.entities.serializer.save.entities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1727728074123000000,1727728134923000000,4
workspaceModel.do.save.caches.ms,1727728074123000000,1727728134923000000,456
workspaceModel.load.cache.metadata.from.file.ms,1727728074123000000,1727728134923000000,0
jps.load.initial.state.ms,1727728074123000000,1727728134923000000,22
workspaceModel.sync.entities.ms,1727728074123000000,1727728134923000000,0
jps.library.entities.serializer.load.entities.ms,1727728074123000000,1727728134923000000,7
workspaceModel.load.cache.from.file.ms,1727728074123000000,1727728134923000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1727728074123000000,1727728134923000000,2
jps.global.initialize.library.bridges.after.loading.ms,1727728074123000000,1727728134923000000,3
jps.modifiable.module.model.bridge.renaming.ms,1727728074123000000,1727728134923000000,0
jps.save.global.entities.ms,1727728074123000000,1727728134923000000,0
jps.library.entities.serializer.save.entities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1727728074123000000,1727728134923000000,0
jps.global.handle.before.change.events.ms,1727728074123000000,1727728134923000000,0
jps.project.serializers.save.ms,1727728074123000000,1727728134923000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1727728074123000000,1727728134923000000,3
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1727728074123000000,1727728134923000000,7
workspaceModel.moduleManagerBridge.load.module.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1727728074123000000,1727728134923000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1727728074123000000,1727728134923000000,215
workspaceModel.mutableEntityStorage.add.entity.ms,1727728074123000000,1727728134923000000,151
workspaceModel.moduleBridge.before.changed.ms,1727728074123000000,1727728134923000000,0
jps.apply.loaded.storage.ms,1727728074123000000,1727728134923000000,32
workspaceModel.mutableEntityStorage.replace.by.source.ms,1727728074123000000,1727728134923000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1727728074123000000,1727728134923000000,54
jps.app.storage.content.reader.load.component.ms,1727728074123000000,1727728134923000000,1
jps.artifact.entities.serializer.save.entities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1727728074123000000,1727728134923000000,0
jps.facet.change.listener.before.change.events.ms,1727728074123000000,1727728134923000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1727728074123000000,1727728134923000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1727728074123000000,1727728134923000000,0
workspaceModel.save.cache.to.file.ms,1727728074123000000,1727728134923000000,446
workspaceModel.mutableEntityStorage.instances.count,1727728074123000000,1727728134923000000,35
workspaceModel.moduleManagerBridge.load.all.modules.ms,1727728074123000000,1727728134923000000,21
jps.global.handle.changed.events.ms,1727728074123000000,1727728134923000000,0
jps.storage.jps.conf.reader.load.component.ms,1727728074123000000,1727728134923000000,43
jps.modifiable.module.model.bridge.disposing.ms,1727728074123000000,1727728134923000000,0
jps.global.get.library.by.name.ms,1727728074123000000,1727728134923000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1727728074123000000,1727728134923000000,3
jps.facet.change.listener.init.bridge.ms,1727728074123000000,1727728134923000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1727728074123000000,1727728134923000000,0
jps.facet.change.listener.process.change.events.ms,1727728074123000000,1727728134923000000,1
workspaceModel.global.updates.ms,1727728074123000000,1727728134923000000,0
jps.reload.project.entities.ms,1727728074123000000,1727728134923000000,0
MappedFileStorage.storages,1727728074123000000,1727728134923000000,9
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1727728074123000000,1727728134923000000,164626432
FilePageCacheLockFree.totalBytesWritten,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesHandedOver,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.nativeBytesInUse,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1727728074123000000,1727728134923000000,531174
MappedFileStorage.totalBytesMapped,1727728074123000000,1727728134923000000,173277184
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1727728074123000000,1727728134923000000,0
FilePageCache.capacityInBytes,1727728074123000000,1727728134923000000,503316478
FilePageCacheLockFree.totalBytesRequested,1727728074123000000,1727728134923000000,0
MappedFileStorage.totalPagesMapped,1727728074123000000,1727728134923000000,9
FileChannelInterruptsRetryer.totalRetriedAttempts,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.recordsDeleted,1727728074123000000,1727728134923000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1727728074123000000,1727728134923000000,110671
FilePageCacheLockFree.totalPagesReadMs,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.hits,1727728074123000000,1727728134923000000,3
FilePageCacheLockFree.totalPagesReclaimed,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1727728074123000000,1727728134923000000,0
StorageLockContext.competingThreads.avg,1727728074123000000,1727728134923000000,0.0
FilePageCache.uncachedFileAccess,1727728074123000000,1727728134923000000,217
FilePageCacheLockFree.totalPagesWritten,1727728074123000000,1727728134923000000,0
StreamlinedBlobStorage.recordsRelocated,1727728074123000000,1727728134923000000,0
DirectByteBufferAllocator.reclaimed,1727728074123000000,1727728134923000000,3
FilePageCache.maxRegisteredFiles,1727728074123000000,1727728134923000000,418
StreamlinedBlobStorage.recordsAllocated,1727728074123000000,1727728134923000000,7156
FilePageCache.pageHits,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.totalPagesAllocated,1727728074123000000,1727728134923000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1727728074123000000,1727728134923000000,0
